"scenario_id","input_id","engine_id","initialization","year","investment","stock","retirement","index_1947"
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1925,6289055.23878259,6289055.23878259,,15.3783023897733
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1926,6612472.23517242,12866109.1168843,35418.3570706621,31.4608329974801
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1927,6253408.47516589,19009322.4763108,110195.115739468,46.4825157620987
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1928,6223365.25816532,25023504.1903767,209183.544099432,61.1886840996905
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1929,6899195.56654921,31596386.700676,326313.056249889,77.2610146768667
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1930,5744849.4743636,36879360.256215,461875.918824559,90.1791974196823
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1931,2652074.68483077,38923933.671258,607501.269787762,95.178687333641
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1932,1546547.60395262,39725450.4452862,745030.829924462,97.1385949594272
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1933,1291047.64601878,40150110.9124106,866387.178894373,98.1769952959594
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1934,1446936.52412214,40624656.5563172,972390.880215574,99.3373772822301
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1935,1583486.72842447,41141546.3321753,1066596.95256631,100.601301190278
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1936,1799005.09439436,41788849.2824433,1151702.14412635,102.184117707078
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1937,2247886.72932862,42806803.8245757,1229932.18719619,104.673269443482
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1938,1628676.12396391,43131361.4957415,1304118.45279817,105.466893576297
"chapter2_current__current_truncated","chapter2_current","current_truncated","cold_start_1925",1939,1643658.72525185,43404456.3746227,1370563.84637066,106.134678397559
